                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0414,                 5.4386,                 1.7997,                0.38623,                0.41935,                  0.306,                0.19307,                 1.4296,                 6.6847,                 1.2193,                0.00024,                0.00024,                0.00024
                      2,                 1.0721,                  1.711,                 1.1606,                0.66711,                0.53226,                0.61846,                0.35581,                 1.4343,                 2.5053,                 1.2653,             0.00049752,             0.00049752,             0.00049752
                      3,                 1.0551,                 1.3985,                 1.1279,                0.52224,                0.65239,                0.53198,                0.26178,                  1.536,                 2.2999,                 1.2507,             0.00075248,             0.00075248,             0.00075248
                      4,                 1.1299,                 1.2456,                 1.1929,                0.51078,                0.53226,                0.54687,                0.30371,                 1.6426,                 3.6375,                 1.4059,              0.0010049,              0.0010049,              0.0010049
                      5,                 1.1509,                 1.1653,                  1.185,                0.52835,                0.54839,                0.55023,                0.30775,                  1.591,                 2.2687,                 1.1965,              0.0012547,              0.0012547,              0.0012547
                      6,                 1.1784,                 1.2005,                 1.2113,                 0.4728,                 0.5786,                0.45175,                0.20384,                 1.8459,                 2.4809,                 1.4055,              0.0015019,              0.0015019,              0.0015019
                      7,                  1.193,                 1.1444,                 1.2034,                0.20636,                0.67742,                0.19593,                0.08914,                 1.7914,                 5.2547,                 1.3868,              0.0017465,              0.0017465,              0.0017465
                      8,                 1.2254,                 1.0964,                 1.2113,                0.35413,                0.35484,                0.29291,                0.16409,                 1.6006,                 4.5228,                 1.4163,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.1576,                 1.0989,                 1.2108,                0.26529,                0.41935,                0.24258,                0.11044,                 1.7688,                 3.2541,                 1.3854,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.1394,                 1.0538,                  1.169,                0.51212,                0.51613,                0.51262,                 0.2325,                 1.8373,                 1.8481,                 1.4508,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.1969,                 1.0491,                 1.2045,                0.68778,                    0.5,                 0.5473,                 0.2753,                 1.8146,                 1.9294,                 1.3495,               0.001901,               0.001901,               0.001901
                     12,                 1.1298,                 1.0476,                 1.1719,                0.39814,                0.53226,                0.38735,                0.20462,                 1.8103,                 2.1595,                  1.414,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.1105,                 1.0228,                 1.1825,                0.61226,                0.74194,                0.66371,                0.36596,                  1.597,                 1.5605,                 1.2798,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.0931,                0.94014,                 1.1381,                 0.6469,                0.64516,                0.65518,                0.35137,                 1.6053,                 1.6279,                 1.2583,              0.0018713,              0.0018713,              0.0018713
                     15,                  1.035,                0.87542,                 1.1143,                0.78387,                0.70204,                0.82084,                0.47784,                 1.4409,                 1.0824,                 1.2368,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.0509,                0.94741,                 1.1296,                 0.6567,                0.74194,                0.77475,                0.45452,                 1.3765,                 1.1455,                 1.1561,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.0605,                0.91073,                 1.1345,                0.64955,                0.68765,                0.75074,                0.39846,                 1.4306,                 1.2984,                 1.1634,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.0429,                   0.87,                 1.1235,                0.73664,                0.58656,                0.71283,                0.42045,                   1.45,                 1.5817,                  1.144,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.0462,                 0.8443,                 1.1062,                0.79013,                0.66802,                0.71139,                0.41984,                 1.4723,                 1.1665,                 1.1944,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.0453,                0.87123,                 1.1062,                0.81257,                0.76925,                0.79062,                0.45831,                 1.3385,                 1.0309,                 1.1086,              0.0018119,              0.0018119,              0.0018119
